Millesime,Catégorie juridique,Catégorie,Etablissement2,Ressource,Négociée,Valeur,Code département,Académie,Code Région,Région
2017,"Établissement public à caractère scientifique, culturel et professionnel",Grand établissement,Sciences Po (IEP de Paris),"Maitron : Dictionnaire biographique, mouvement ouvrier, mouvement social, en ligne",OUI,2300.0,D075,Paris,R11,Île-de-France
2016,"Établissement public à caractère scientifique, culturel et professionnel",Université,Université Paris 8 - Vincennes - Saint-Denis,"Maitron : Dictionnaire biographique, mouvement ouvrier, mouvement social, en ligne",OUI,4203.0,D093,Créteil,R11,Île-de-France
2017,"Établissement public à caractère scientifique, culturel et professionnel",Université,Université Paris 8 - Vincennes - Saint-Denis,"Maitron : Dictionnaire biographique, mouvement ouvrier, mouvement social, en ligne",OUI,1645.0,D093,Créteil,R11,Île-de-France
2016,"Établissement public à caractère scientifique, culturel et professionnel",Grand établissement,Conservatoire national des arts et métiers (CNAM),Manageris - Revues,NON,5200.0,D075,Paris,R11,Île-de-France
2017,"Établissement public à caractère scientifique, culturel et professionnel",Grand établissement,Conservatoire national des arts et métiers (CNAM),Manageris - Revues,NON,5200.0,D075,Paris,R11,Île-de-France
2015,SA à conseil d'administration,École de commerce et de management,École des hautes études commerciales de Paris (HEC Paris),Marketline,OUI,3551.0,D078,Versailles,R11,Île-de-France
2018,SA à conseil d'administration,École de commerce et de management,École des hautes études commerciales de Paris (HEC Paris),Marketline,OUI,4946.0,D078,Versailles,R11,Île-de-France
2018,Établissement public national à caractère administratif,Organisme de recherche,Centre national de la recherche scientifique (CNRS),Mary Ann Liebert - Revues,NON,25537.71,D075,Paris,R11,Île-de-France
2018,Établissement public national à caractère administratif,Organisme de recherche,Institut national de la santé et de la recherche médicale (INSERM),Mary Ann Liebert - Revues,NON,19693.25,D075,Paris,R11,Île-de-France
2016,Établissement public national à caractère administratif,Organisme de recherche,Institut national de recherche en informatique et en automatique (Inria),Mary Ann Liebert - Revues,NON,9145.0,D078,Versailles,R11,Île-de-France
2015,Établissement public national à caractère administratif,Bibliothèque,Bibliothèque nationale de France (BNF),Mathscinet,OUI,8621.0,D075,Paris,R11,Île-de-France
2017,"Établissement public à caractère scientifique, culturel et professionnel",Grand établissement,CentraleSupélec,Mathscinet,OUI,816.0,D091,Versailles,R11,Île-de-France
2018,"Établissement public à caractère scientifique, culturel et professionnel",Grand établissement,CentraleSupélec,Mathscinet,OUI,748.03,D091,Versailles,R11,Île-de-France
2018,"Établissement public à caractère scientifique, culturel et professionnel",Grand établissement relevant d'un autre département ministériel,École nationale des ponts et chaussées (ENPC),Mathscinet,OUI,1235.6,D077,Créteil,R11,Île-de-France
2016,Sans personnalité juridique - secteur public,Bibliothèque,Bibliothèque interuniversitaire Cujas,LegalTrac,NON,2427.0,D075,Paris,R11,Île-de-France
2016,"Établissement public à caractère scientifique, culturel et professionnel",Grand établissement,Collège de France,Leiden Armenian Lexical Textbase (LALT),NON,236.0,D075,Paris,R11,Île-de-France
2017,"Établissement public à caractère scientifique, culturel et professionnel",Grand établissement,Collège de France,Leiden Armenian Lexical Textbase (LALT),NON,250.0,D075,Paris,R11,Île-de-France
2015,Établissement public national à caractère administratif,Liste des établissements publics relevant du ministre chargé de l'Enseignement supérieur,Musée du quai Branly - Jacques Chirac,"Lesbian, Gay, Bisexual and Transgender (LGBT) Life with full text",NON,4002.0,D075,Paris,R11,Île-de-France
2018,Établissement public national à caractère administratif,Liste des établissements publics relevant du ministre chargé de l'Enseignement supérieur,Musée du quai Branly - Jacques Chirac,"Lesbian, Gay, Bisexual and Transgender (LGBT) Life with full text",NON,4771.0,D075,Paris,R11,Île-de-France
2016,Sans personnalité juridique - secteur public,Bibliothèque,Bibliothèque interuniversitaire Cujas,Lexbase,OUI,10658.0,D075,Paris,R11,Île-de-France
2017,Sans personnalité juridique - secteur public,Bibliothèque,Bibliothèque interuniversitaire Sainte-Barbe (BSB),Lexbase,OUI,1294.0,D075,Paris,R11,Île-de-France
2016,Établissement public national à caractère administratif,Bibliothèque,Bibliothèque nationale de France (BNF),Lexbase,OUI,7950.0,D075,Paris,R11,Île-de-France
2017,"Établissement public à caractère scientifique, culturel et professionnel",Université,Université Paris 8 - Vincennes - Saint-Denis,Lexbase,OUI,2157.0,D093,Créteil,R11,Île-de-France
2017,Sans personnalité juridique - secteur public,Bibliothèque,Bibliothèque interuniversitaire Cujas,Lexis 360 (ex-Jurisclasseurs),OUI,25088.0,D075,Paris,R11,Île-de-France
2017,Établissement public national à caractère administratif,Bibliothèque,Bibliothèque nationale de France (BNF),Lexis 360 (ex-Jurisclasseurs),OUI,47790.0,D075,Paris,R11,Île-de-France
2015,"Établissement public à caractère scientifique, culturel et professionnel",Grand établissement,CentraleSupélec,Lexis 360 (ex-Jurisclasseurs),OUI,3690.0,D091,Versailles,R11,Île-de-France
