Mois;Essonne 91;Eure-et-Loir 28;Hauts-de-Seine 92;Paris 75;Seine-et-Marne 77;Seine-Saint-Denis 93;Val-d'Oise 95;Val-de-Marne 94;Yvelines 78;Total
Février 2016; 97 370;  0; 127 890; 221 220; 109 870; 180 220; 113 090; 118 020; 103 800;1 071 480
Mars 2016; 97 180;  0; 127 310; 220 170; 109 480; 179 560; 113 160; 117 300; 103 840;1 068 000
Avril 2016; 95 460;  0; 124 990; 216 640; 107 500; 176 520; 111 070; 115 380; 102 100;1 049 650
Mai 2016; 95 780;  0; 125 020; 216 470; 107 360; 177 210; 111 070; 115 430; 102 330;1 050 660
Juin 2016; 95 150;  0; 123 870; 215 110; 107 010; 176 260; 110 380; 114 730; 102 080;1 044 580
Juillet 2016; 94 670;  0; 123 630; 214 100; 106 080; 174 080; 109 020; 113 780; 101 890;1 037 250
Août 2016; 96 780;  0; 125 960; 217 810; 108 330; 175 980; 111 320; 115 890; 104 420;1 056 480
Septembre 2016; 98 570;  0; 127 890; 220 740; 110 480; 178 960; 113 450; 117 870; 106 430;1 074 380
Octobre 2016; 99 290;  0; 128 210; 221 820; 110 930; 180 060; 113 620; 118 400; 106 560;1 078 890
Novembre 2016; 99 880;  0; 128 620; 223 040; 111 820; 181 790; 114 280; 119 050; 107 150;1 085 630
Décembre 2016; 99 130;  0; 127 980; 221 850; 111 100; 180 800; 113 860; 118 380; 106 230;1 079 340
Janvier 2017; 100 410;  0; 129 170; 224 100; 112 610; 182 950; 115 100; 119 690; 106 510;1 090 540
Février 2017; 99 970;  0; 128 550; 223 090; 112 450; 182 810; 115 230; 119 200; 105 830;1 087 140
Mars 2017; 98 760;  0; 127 320; 221 260; 111 470; 181 680; 114 570; 118 400; 104 820;1 078 280
Avril 2017; 97 910;  0; 126 030; 219 440; 110 220; 180 120; 113 460; 117 390; 103 950;1 068 510
Mai 2017; 97 590;  0; 126 050; 219 620; 110 060; 180 550; 112 960; 117 300; 103 910;1 068 040
Juin 2017; 96 390;  0; 124 840; 217 760; 108 900; 178 060; 111 750; 116 000; 103 100;1 056 810
Juillet 2017; 96 470;  0; 125 180; 217 860; 108 850; 177 270; 111 580; 116 410; 103 860;1 057 490
Août 2017; 98 050;  0; 127 050; 220 620; 110 520; 178 940; 113 140; 117 730; 105 750;1 071 790
Septembre 2017; 99 120;  0; 128 390; 222 060; 111 880; 180 930; 114 470; 119 430; 106 980;1 083 260
Octobre 2017; 99 770;  0; 129 470; 224 060; 112 740; 182 820; 115 580; 120 390; 107 530;1 092 360
Novembre 2017; 100 120;  0; 129 640; 224 170; 113 110; 184 430; 115 700; 120 410; 107 640;1 095 220
Décembre 2017; 99 490;  0; 129 200; 222 960; 112 540; 183 810; 115 410; 119 590; 106 780;1 089 760
Janvier 2018; 100 940;  0; 130 020; 224 200; 113 760; 185 770; 116 360; 120 800; 107 530;1 099 390
Février 2018; 100 480;  0; 129 380; 222 640; 113 390; 185 420; 115 440; 120 050; 107 050;1 093 860
Mars 2018; 99 570;  0; 128 930; 221 080; 112 390; 183 990; 114 450; 119 110; 106 000;1 085 510
Avril 2018; 98 590;  0; 127 430; 219 510; 111 420; 182 510; 113 540; 117 930; 105 010;1 075 930
Mai 2018; 98 530;  0; 127 700; 219 560; 111 280; 182 510; 113 880; 117 890; 105 220;1 076 570
Juin 2018; 97 000;  0; 126 360; 216 600; 109 480; 180 050; 111 910; 115 970; 103 770;1 061 130
Juillet 2018; 97 550;  0; 126 810; 217 410; 110 430; 180 000; 111 940; 116 160; 104 550;1 064 850
Août 2018; 98 960;  0; 128 750; 219 790; 112 280; 180 930; 113 360; 117 410; 106 180;1 077 660
Septembre 2018; 100 580;  0; 130 440; 221 820; 114 180; 183 960; 114 850; 119 090; 107 780;1 092 680
Octobre 2018; 101 270;  0; 131 420; 223 180; 114 670; 185 610; 115 860; 119 990; 108 300;1 100 290
Novembre 2018; 100 390;  0; 130 820; 221 410; 114 030; 184 480; 115 150; 119 020; 107 780;1 093 080
Décembre 2018; 99 710;  0; 130 080; 220 530; 113 500; 183 720; 114 520; 118 160; 107 360;1 087 580
Janvier 2019; 101 270;  0; 131 700; 222 650; 115 280; 186 760; 115 860; 119 750; 108 500;1 101 770
Février 2019; 100 970;  0; 131 020; 221 190; 114 760; 185 790; 115 260; 118 590; 107 900;1 095 490
Mars 2019; 100 420;  0; 130 270; 220 010; 114 420; 184 910; 114 410; 117 800; 107 260;1 089 480
Avril 2019; 99 750;  0; 129 170; 218 010; 113 330; 182 970; 113 340; 116 550; 106 120;1 079 250
Mai 2019; 99 090;  0; 128 050; 217 030; 112 790; 181 900; 112 360; 116 020; 105 530;1 072 760
Juin 2019; 98 220;  0; 127 330; 215 390; 111 790; 180 110; 111 410; 115 150; 104 830;1 064 220
Juillet 2019; 98 510;  0; 127 830; 215 950; 111 650; 179 300; 111 280; 115 260; 105 130;1 064 910
Août 2019; 99 280;  0; 129 060; 217 330; 112 410; 179 930; 112 010; 116 130; 106 380;1 072 540
Septembre 2019; 100 940;  0; 130 580; 219 920; 114 570; 182 580; 113 560; 118 100; 108 000;1 088 260
Octobre 2019; 101 080;  0; 131 260; 221 430; 115 010; 183 380; 113 670; 118 820; 108 090;1 092 740
Novembre 2019; 99 430;  0; 129 510; 218 560; 113 620; 180 790; 112 210; 117 140; 106 710;1 077 980
Décembre 2019; 99 360;  0; 129 220; 217 570; 113 100; 180 330; 111 850; 116 690; 106 670;1 074 800
Janvier 2020; 100 430;  0; 129 420; 218 590; 114 220; 182 030; 112 840; 117 530; 107 210;1 082 270
Février 2020; 100 030;  0; 128 550; 217 130; 113 780; 181 340; 112 320; 116 650; 106 300;1 076 090
Mars 2020; 102 550;  0; 131 170; 221 030; 116 690; 184 210; 114 680; 118 810; 108 430;1 097 560
Avril 2020; 105 670;  0; 134 870; 226 560; 119 870; 188 680; 117 820; 122 230; 111 540;1 127 240
Mai 2020; 106 280;  0; 135 510; 227 350; 120 350; 189 620; 118 280; 123 000; 112 100;1 132 490
Juin 2020; 105 420;  0; 134 620; 225 990; 119 400; 188 640; 117 720; 122 560; 111 860;1 126 220
Juillet 2020; 105 550;  0; 134 930; 226 990; 119 450; 188 890; 118 110; 123 200; 112 430;1 129 540
Août 2020; 106 770;  0; 137 100; 230 170; 120 750; 191 010; 119 420; 125 090; 114 350;1 144 640
Septembre 2020; 108 430;  0; 139 570; 233 510; 122 880; 194 140; 121 460; 127 280; 116 250;1 163 520
Octobre 2020; 108 710;  0; 141 120; 234 420; 123 740; 195 040; 121 980; 128 010; 117 030;1 170 040
Novembre 2020; 109 280;  0; 141 460; 234 740; 124 300; 195 100; 121 970; 128 100; 117 310;1 172 260
Décembre 2020; 109 170;  0; 141 530; 234 780; 124 410; 195 300; 122 310; 128 040; 117 600;1 173 140
Janvier 2021; 109 540;  0; 142 480; 234 740; 125 960; 196 110; 122 870; 128 820; 118 060;1 178 580
Février 2021; 109 530;  0; 142 170; 234 080; 125 830; 196 510; 122 820; 128 610; 117 700;1 177 240
Mars 2021; 109 460;  0; 141 830; 233 740; 126 400; 196 870; 123 550; 128 800; 117 800;1 178 460
Avril 2021; 108 570;  0; 140 400; 231 410; 125 620; 195 150; 122 630; 128 120; 117 050;1 168 950
Mai 2021; 107 570;  0; 139 160; 228 910; 124 870; 193 770; 121 410; 127 100; 116 430;1 159 220
Juin 2021; 106 620;  0; 137 340; 226 340; 123 700; 192 300; 120 620; 125 750; 115 870;1 148 550
Juillet 2021; 105 200;  0; 136 280; 223 890; 122 260; 189 850; 119 430; 124 440; 115 140;1 136 490
Août 2021; 105 740;  0; 136 890; 224 240; 123 130; 190 750; 120 070; 124 910; 116 070;1 141 780
Septembre 2021; 106 600;  0; 137 130; 224 410; 124 210; 191 920; 120 800; 125 790; 116 690;1 147 540
Octobre 2021; 105 010;  0; 135 140; 221 660; 122 760; 189 850; 119 220; 123 720; 115 150;1 132 520
Novembre 2021; 103 930;  0; 133 850; 219 800; 122 080; 188 310; 118 090; 122 510; 114 600;1 123 180
Décembre 2021; 102 830;  0; 132 040; 217 220; 120 510; 186 930; 116 650; 121 400; 113 350;1 110 920
Janvier 2022; 103 160;  0; 131 740; 216 220; 120 670; 186 840; 116 710; 121 360; 113 090;1 109 780
Février 2022; 102 590;  0; 129 940; 213 550; 119 700; 185 540; 116 100; 120 170; 112 270;1 099 850
Mars 2022; 102 430;  0; 129 350; 212 450; 119 310; 185 770; 115 810; 120 160; 111 880;1 097 150
Avril 2022; 100 490;  0; 127 160; 208 790; 117 140; 182 880; 113 940; 118 170; 109 900;1 078 470
Mai 2022; 100 250;  0; 126 210; 207 830; 116 110; 181 690; 112 920; 117 420; 109 450;1 071 880
Juin 2022; 99 070;  0; 124 880; 205 650; 114 920; 179 560; 111 330; 116 180; 108 510;1 060 090
Juillet 2022; 98 400;  0; 124 410; 205 050; 114 210; 177 510; 110 060; 115 170; 108 060;1 052 870
Août 2022; 99 830;  0; 126 450; 207 980; 115 820; 179 930; 111 950; 117 040; 110 030;1 069 030
Septembre 2022; 101 150;  0; 127 470; 209 420; 117 350; 181 640; 113 120; 118 080; 111 440;1 079 660
Octobre 2022; 101 290;  0; 127 380; 209 780; 117 810; 182 030; 112 970; 117 900; 111 410;1 080 560
Novembre 2022; 101 030;  0; 126 230; 208 080; 117 350; 181 040; 112 230; 117 140; 110 930;1 074 040
Décembre 2022; 100 140;  0; 125 440; 207 160; 116 440; 179 530; 111 310; 116 230; 110 040;1 066 280
Janvier 2023; 101 460;  0; 126 690; 208 940; 117 920; 182 240; 112 840; 117 600; 110 960;1 078 640
Février 2023; 101 070;  0; 126 250; 207 340; 117 320; 181 900; 112 320; 117 220; 110 370;1 073 780
Mars 2023; 100 890;  0; 125 970; 206 820; 117 300; 181 870; 112 150; 117 030; 110 330;1 072 350
Avril 2023; 99 930;  0; 124 910; 205 260; 115 860; 180 230; 111 060; 116 050; 109 450;1 062 760
Mai 2023; 99 650;  0; 125 060; 204 850; 115 300; 179 670; 110 880; 115 890; 109 050;1 060 350
Juin 2023; 97 900;  0; 123 620; 202 870; 113 820; 176 990; 108 990; 114 410; 107 500;1 046 110
Juillet 2023; 97 700;  0; 123 580; 202 920; 113 690; 175 750; 108 590; 114 350; 107 980;1 044 550
Août 2023; 99 390;  0; 125 850; 206 050; 115 400; 178 490; 110 200; 116 450; 109 820;1 061 660
Septembre 2023; 101 580;  0; 128 590; 209 230; 117 730; 182 190; 112 640; 118 860; 111 910;1 082 730
Octobre 2023; 102 690;  0; 129 760; 211 210; 118 610; 184 070; 113 860; 120 010; 112 930;1 093 130
Novembre 2023; 102 870;  0; 130 190; 211 780; 119 140; 184 960; 114 390; 120 550; 113 440;1 097 310
Décembre 2023; 102 490;  0; 130 040; 211 090; 118 640; 184 400; 114 030; 120 210; 112 990;1 093 890
Janvier 2024; 103 610;  0; 130 800; 212 010; 119 890; 185 650; 114 910; 121 020; 113 710;1 101 600
Février 2024; 103 340;  0; 130 470; 210 980; 119 550; 184 970; 114 500; 120 550; 113 600;1 097 960
Mars 2024; 102 170;  0; 129 580; 208 680; 118 910; 183 620; 112 900; 119 490; 112 670;1 088 020
Avril 2024; 101 390;  0; 128 840; 207 160; 118 150; 182 200; 111 580; 118 350; 112 140;1 079 810
Mai 2024; 100 890;  0; 128 900; 206 760; 117 860; 182 000; 111 450; 118 300; 112 280;1 078 450
Juin 2024; 99 910;  0; 128 230; 205 540; 117 400; 180 420; 110 330; 117 390; 111 410;1 070 620
Juillet 2024; 99 980;  0; 128 420; 205 910; 117 930; 180 150; 110 260; 117 240; 111 400;1 071 280

Les données présentées dans ce tableau sont arrondies à la dizaine. Pour cette raison, la somme des valeurs d’une ligne (ou d’une colonne) peut légèrement différer du total affiché.
